#FF	#ff
#Grillo	#grillo
noi	Noi
norimberga	Norimberga
Numero	Numero
o	O
oggi	OGGI
Occidente	Occidente
Of	Of
oggi	Oggi
ogni	Ogni
oh	Oh
Olimpiadi	Olimpiadi
Olivo	Olivo
ormai	Omai
Opera	Opera
Orlando	Orlando
Orsi	Orsi
Ossi	Ossi
per	PER
Pacifico	Pacifico
Palazzo	Palazzo
Pale	Pale
Palma	Palma
Palombella	Palombella
Pantani	Pantani
peccato	Peccato
per	Per
perché	Perché
perimento	Perimento
persia	Persia
Pescante	Pescante
Pino	Pino
Poggio	Poggio
Poli	Poli
Polo	Polo
Popolare	Popolare
Porta	Porta
potere	Possiamo
potere	Posso
Prodi	Prodi
potere	Può
quello	QUELLO
quale	Qual
qualcuno	Qualcuno
quale	Quale
quando	Quando
quanto	Quanto
Quarto	Quarto
quello	Quel
quello	Quelli
quello	Quello
questo	Questa
questo	Questi
questo	Questo
qui	Qui
Quotidiano	Quotidiano
roma	ROMA
Radicale	Radicale
Radice	Radice
Rame	Rame
Regno	Regno
Risparmio	Risparmio
Rocca	Rocca
Rodin	Rodin
Romeo	Romeo
Rossi	Rossi
Russa	Russa
se	S'
se	SE
si	SI
essere	SONO
stop	STOP
Salvatore	Salvatore
Sant'	Sant'
essere	Saranno
essere	Sarà
Scala	Scala
se	Se
sebbene	Sebbene
secondo	Secondo
signore	Segnor
essere	Sei
Sera	Sera
si	Si
essere	Siamo
essere	Siete
Sinistra	Sinistra
Sole	Sole
essere	Sono
Spalato	Spalato
Spirito	Spirito
Svi	Svi
Sviluppo	Sviluppo
tanto	TANTO
ti	TI
TU	TU
tutto	TUTTI
tutto	TUTTO
te	Te
Terni	Terni
ti	Ti
Torre	Torre
Toscana	Toscana
tra	Tra
Trentino	Trentino
Trota	Trota
tu	Tu
tutto	Tutti
tutto	Tutto
uno	UN
uno	UNA
uno	UNO
Ucraina	Ucraina
uno	Un
uno	Un'
Unione	Unione
Uniti	Uniti
Unito	Unito
uno	Uno
vi	VI
VS	VS
andare	Va
Valle	Valle
Van	Van
Vaticano	Vaticano
Venere	Venere
Veneto	Veneto
Ventura	Ventura
Verdi	Verdi
verso	Verso
Vespa	Vespa
vi	Vi
Villa	Villa
volere	Voglio
voi	Voi
Volo	Volo
volere	Vorrei
per	X
abbandonare	abbandonata
abbraccio	abbraccio
abuso	abuso
accento	accento
accendere	accesi
acciaio	acciaio
acciò	acciò
accordo	accordo
accorrere	accorse
accumulo	accumulo
accusare	accusata
accusare	accusati
acquisto	acquisto
adornare	addorno
addosso	addosso
adeguato	adeguato
adito	adito
affezione	affezion
affidatario	affidataria
affinché	affinché
affiggere	affisse
affitto	affitto
africano	africana
aggettivo	aggettivo
agguato	agguato
agitato	agitato
aiuto	aiuto
a	al
alii	al.
albero	albero
Alfred	alfred
alloggio	alloggio
allora	allor
allora	allora
allorché	allorché
alma	alma
altro	altr'
altrimenti	altrimenti
altrui	altrui
ambito	ambito
ambedue	amendue
amico	amica
amico	amiche
ammettere	ammessi
ammettere	ammesso
amministrativo	amministrativa
amministrativo	amministrative
analisi	analisi
anche	anco
ancora	ancor
ancorché	ancorché
and	and
andare	andati
andare	andavam
angelo	angel
angolo	angolo
animale	animal
animo	animo
annuncio	annuncio
anti	anti
anticipo	anticipo
anzi	anzi
anziano	anziane
anziché	anziché
aprire	aperse
appalto	appalto
apparente	apparente
apparire	apparsa
appassionato	appassionato
appello	appello
appena	appena
appetito	appetito
applicare	applicati
apposta	apposta
appressare	appressa
appunto	appunto
arbitro	arbitri
architetto	architetto
archivio	archivio
ardore	ardor
argomento	argomento
arresto	arresto
arrivare	arrivata
arrivare	arrivati
articolato	articolato
articolo	artt.
ascesa	ascesa
assai	assai
assalto	assalto
assassino	assassino
assente	assente
assetto	assetto
assolvere	assolto
assumere	assunti
atletica	atletica
att	att.
attacco	attacco
attentato	attentato
attorno	attorno
attraverso	attraverso
attore	attrice
aumento	aumento
avanti	avante
avere	avea
avere	avean
avere	avem
avere	avria
avvegna	avvegna
avvento	avvento
avviare	avviata
avvio	avvio
avviso	avviso
aziendale	aziendale
aziendale	aziendali
azzurro	azzurra
azzurro	azzurro
bagno	bagno
ballo	ballo
Balzac	balzac
balzo	balzo
bancario	bancaria
barricata	barricate
beato	beato
becco	becco
bello	bei
bello	bel
bello	bella
bello	belle
bello	bellissima
bene	ben
benché	benché
benedire	benedetto
beneficio	beneficio
bensì	bensì
bersaglio	bersaglio
bianco	bianca
bianco	bianche
bilancio	bilancio
biografia	bio
bisogno	bisogno
blocco	blocco
bocciare	boccia
bontà	bontate
bonta'	bontà
bordo	bordo
bosniaco	bosniaca
Bossi	bossi
brasiliano	brasiliana
bravo	brava
briga	briga
brillante	brillante
bronzo	bronzo
buco	buco
buio	buia
buono	buon
by	by
ci	c'
cagione	cagion
calare	cala
calcio	calcio
calcolo	calcolo
Calderoli	calderoli
calibro	calibro
calmo	calmo
calo	calo
cambio	cambio
cammino	cammin
cammino	cammino
campionato	campionato
campione	campionessa
campo	campo
candidare	candida
canto	canto
cantore	cantor
capitare	capita
capitolo	capitolo
capo	capo
carico	carco
cardinal	cardinal
carico	carico
casco	casco
catalogo	catalogo
cattivo	cattiva
cattivo	cattive
cavaliere	cavalier
ce	ce
cellulosa	cellulosa
cemento	cemento
centro	centro
cerchio	cerchio
che	ch'
chi	chi
Chirac	chirac
chiunque	chiunque
ché	ché
ci	ci
ciascuno	ciascun
ciascuno	ciascun'
ciascuno	ciascuna
ciascuno	ciascuno
cibo	cibo
cieco	cieca
cinghio	cinghio
cinquanta	cinquant'
cioè	cioè
circa	circa
circolo	circolo
circuito	circuito
citazione	cit.
cittadino	cittadin
clandestino	clandestina
classico	classiche
comunque	cmq
con	cn
con	co
colei	colei
collasso	collasso
colle	colle
collegare	collegati
collo	collo
colui	color
coloro	coloro
colturale	colturale
colui	colui
comando	comando
combattere	combattuta
comico	comica
comico	comiche
cominciare	comincia'
commento	commento
commercio	commercio
commettere	commessi
commissariato	commissariato
commissario	commissario
comodo	comodo
compenso	compenso
compito	compito
compiere	compiuta
complicato	complicato
complotto	complotto
comunicare	comunicata
comunque	comunque
concedere	concedente
concerto	concerto
concedere	concessa
concedere	concessi
concessionario	concessionaria
concilio	concilio
concludere	concluse
condizione	condizion
condono	condono
condurre	condotto
confermare	confermata
confessare	confessa
conflitto	conflitto
conforto	conforto
confronto	confronto
conoscere	conosciuta
conservare	conserva
conservatore	conservatrice
conservatore	conservatrici
considerare	considerata
considerare	considerati
consorzio	consorzio
consumo	consumo
contare	conta
contagio	contagio
contatto	contatto
conto	conto
contro	contr'
contro	contra
contrabbando	contrabbando
contrasto	contrasto
contro	contro
controllo	controllo
convenire	convene
convenire	convenia
convenire	convien
cuore	cor
coro	cori
correre	corre
corto	corta
così	cosi'
costei	costei
costituire	costituita
costo	costo
costoro	costor
costoro	costoro
costui	costui
così	così
cotale	cotai
cotale	cotal
cotale	cotale
cotale	cotali
codesto	cotesti
croato	croata
croato	croate
crollo	crollo
cui	cu'
cui	cui
coprire	cuopre
ci	c’
dare	dammi
davanti	davante
davanti	davanti
dovere	de'
dovere	debbo
dovere	debbono
debutto	debutto
decennio	decenni
declino	declino
decollo	decollo
decreto	decreto
dovere	dee
definire	definita
dovere	deggio
degrado	degrado
dentro	dentro
deposito	deposito
deputato	deputato
destino	destino
determinato	determinate
dettaglio	dettaglio
dettare	dettata
dovere	dev'
dovere	devi
dialogo	dialogo
dire	dica
dire	dicea
dire	dicean
dire	dicer
Didoni	didoni
dieci	diece
dietro	dietro
difesa	difesa
difetto	difetto
diletto	diletto
domandare	dimandar
dimettere	dimesso
Dimmi	dimmi
dinanzi	dinanzi
dipingere	dipinta
disagio	disagio
disarmo	disarmo
disastro	disastro
discorso	discorso
discutere	discusso
disdegno	disdegno
disegno	disegno
diserrare	diserra
deserere	diserta
desiderio	disio
disperato	disperato
dire	diss'
dissesto	dissesto
distacco	distacco
divino	divina
divino	divino
dare	diè
documento	documento
domicilio	domicilio
dono	dono
dovere	dovea
dovere	dovria
dovere	dovrien
dovere	dovuta
du	du
dubitare	dubbiar
dunque	dunque
di	d’
e/o	e/o
ebbene	ebbene
eccetera	ecc
egli	egli
egli	ei
elenco	elenco
eleggere	elette
ella	ella
ella	elle
egli	elli
elogio	elogio
emergere	emersi
entro	entro
entusiasmo	entusiasmo
enunciare	enunciati
eppure	eppure
essere	er'
essere	era
essere	eravam
erigere	eretto
errore	error
esempio	es.
escludere	escluse
esercitare	esercita
esercito	esercito
esito	esito
esonero	esonero
esperimento	esperimento
esporre	esposte
esporre	esposti
esilio	essilio
esso	esso
questo	esta
questo	este
questo	esto
eternamente	etternalmente
eterno	etterne
fare	facea
fare	facean
fallo	fallo
farmaceutico	farmaceutica
fatturato	fatturato
fare	fe'
fare	fec'
fare	feci
fare	fei
fare	fenno
fare	feo
fare	fer
ferro	ferro
essere	fia
fianco	fianco
fiata	fiata
fiata	fiate
fiato	fiato
fidare	fido
essere	fier
figlio	figlio
figliuolo	figliuol
filosofo	filosofo
finché	finché
finto	finto
fiore	fior
figgere	fiso
fissare	fissati
fuoco	foco
foglio	foglio
folle	folle
essere	fora
formare	formata
essere	fosse
essere	fossi
fra	fra
freno	freno
fresco	fresca
frutto	frutto
essere	fu'
essere	fue
fumo	fumo
essere	fuor
fuori	fuori
essere	fuoro
essere	fur
essere	furo
fuso	fuso
fare	fé
gelo	gelo
generare	genera
genere	genere
genero	genero
gentile	gentil
gesso	gesso
getto	getto
ghiaccio	ghiaccio
già	gia'
giallo	gialla
giallo	gialle
gioco	gioco
gire	gir
giro	giro
girone	giron
giudizio	giudicio
gire	giva
gli	glie
Gorrini	gorrini
granché	granché
grande	grand'
grano	grano
grave	gravissima
grave	gravissimo
grazie	grazie
Greenpeace	greenpeace
grido	grido
guadagno	guadagno
guizzo	guizzo
gusto	gusto
avere	ha'
io	i'
idrocarburo	idrocarburi
immagine	image
immagine	imagine
imbarazzo	imbarazzo
impasto	impasto
impatto	impatto
impegnare	impegnata
impegno	impegno
impennata	impennata
impero	impero
impianto	impianto
impiego	impiego
importo	importo
impresa	impresa
incarico	incarico
incazzato	incazzati
incendio	incendio
includere	inclusa
includere	inclusi
incontro	incontro
incremento	incremento
incrocio	incrocio
incubo	incubo
indi	indi
indicare	indica
indicare	indicata
indicare	indicati
indirizzo	indirizzo
individuo	individuo
indugio	indugio
Indurain	indurain
infatti	infatti
infino	infin
infine	infine
infino	infino
informare	informati
inganno	inganno
ingegno	ingegno
iniziare	iniziata
inizio	inizio
innanzi	innanzi
innanzitutto	innanzitutto
intanto	intanto
intervallo	intervallo
intervenire	intervenute
intervenire	intervenuti
intendere	intesi
intorno	intorno
tra	intra
entrare	intrar
intreccio	intreccio
introdurre	introdotti
introdurre	introdotto
invece	invece
inventare	inventata
verso	inver'
verso	inverso
inviare	inviata
io	io
ipotesi	ipotesi
ire	ir
ispirare	ispirata
istruito	istruite
italiano	italiana
italiano	italiane
Jalabert	jalabert
che	ke
chilogrammo	kg
laddove	laddove
lanciare	lanciata
lancio	lancio
latino	latina
lavoratore	lavoratrice
lavoratore	lavoratrici
licere	lece
legare	legata
legno	legno
lei	lei
lena	lena
lettore	lettor
libro	libro
licenziante	licenziante
lecito	licito
lido	lito
livello	livello
luogo	loco
loro	lor
loro	loro
lucere	lucente
Luciano	luciano
lui	lui
Luigi	luigi
lungo	lunghissimo
lusso	lusso
magnifico	magnifica
malo	mala
malato	malata
malgrado	malgrado
mano	man
mancare	manca
meravigliare	maravigliar
marchio	marchio
marito	marito
massacro	massacro
massaggio	massaggio
materia	matera
me	me
medesimo	medesma
medesimo	medesmo
mediante	mediante
medio	medio
meno	men
meno	meno
mento	mento
mentre	mentr'
mentre	mentre
merito	merito
merito	merto
mettere	messo
mestiere	mestier
metropolitano	metropolitane
mezzo	mezz'
migliore	migliore
migliore	migliori
migrante	migranti
minore	minore
mirabile	mirabil
mirare	miri
misto	mista
modello	modello
modesto	modesta
molto	molt'
molto	moltissime
monotono	monotone
morire	more
mordere	morse
morire	morta
mortale	mortal
muovere	mossi
muovere	mosso
mostro	mostro
motivo	motivo
muovere	mova
muovere	move
muovere	mover
movimento	movimento
mutuo	mutuo
numero	n.
uno	na
nascondere	nascose
nascere	nate
negozio	negozio
nipote	nepote
nessuno	nessun
niente	nient'
niente	niente
non	nn
noi	noi
nonché	nonché
nonostante	nonostante
novembre	nov.
nuovo	nova
nuovo	novi
nuovo	novo
nostro	ns
nudo	nuda
nudo	nude
nulla	nulla
nuoto	nuoto
né	né
o	o
obbligare	obbligati
obbligo	obbligo
o	od
udire	ode
of	of
offrire	offerse
offrire	offerto
officio	officio
ogni	ogn'
ogni	ogne
ognuno	ognuno
oh	oh
oltre	oltre
oltreché	oltreché
uomo	om
ormai	omai
uomo	omo
onde	ond'
onde	onde
onesto	onesta
onore	onor
operaio	operaia
opposto	opposto
oppure	oppure
ora	or
orazione	orazion
ordinario	ordinaria
ordinario	ordinarie
orecchia	orecchie
organico	organica
orientare	orientata
orlo	orlo
oro	oro
orribile	orribil
ossia	ossia
ostacolo	ostacolo
ove	ov'
ove	ove
ovvero	ovvero
pacifico	pacifica
pagare	pagano
pagare	paghi
parere	paia
Paolo	paolo
paragrafo	paragrafo
parata	parata
parcheggio	parcheggio
parere	parea
parere	parean
pari	pari
Parigi	parigi
particolare	particolar
parere	parvente
pastore	pastor
pavimento	pavimento
peccato	peccato
peccatore	peccator
peggiore	peggior
peggiore	peggiore
pellegrino	pellegrino
pelo	pelo
pensiero	pensier
perché	perch'
perché	perche'
perché	perchè
perché	perché
perciò	perciò
pericolo	pericolo
però	però
peso	peso
pessimo	pessimo
piangere	piangea
pianta	pianta
piccolo	picciol
piccolo	picciola
picco	picco
pieno	pien
pieno	piena
pieno	piene
pietà	pieta
piombo	piombo
piede	piè
più	piùe
poco	po'
poco	pochissimi
poggio	poggio
poi	poi
poiché	poiché
polo	polo
porre	pon
popolo	popol
popolo	popolo
potere	poria
porgere	porse
portare	portati
porre	pose
potere	poss'
potere	potea
potere	potean
pranzo	pranzo
predetto	predette
pregio	pregio
preludio	preludio
premio	premio
pressi	pressi
presso	presso
presupposto	presupposto
prevedere	previsti
primario	primaria
priori	priori
privilegio	privilegio
pro	pro
processo	processo
professore	prof
professore	prof.
profilo	profilo
profitto	profitto
profondo	profondo
profondere	profusi
progetto	progetto
programmare	programmata
promettere	promesso
promuovere	promossa
promuovere	promosso
prospetto	prospetto
protocollo	protocollo
provvidenza	provedenza
parte	pt
pugno	pugno
pulito	pulite
punteggio	punteggio
potere	puo'
porre	puose
potere	puote
pure	pur
purché	purché
pure	pure
puzzo	puzzo
quale	quai
qualche	qualche
qualcosa	qualcosa
qualcuno	qualcuno
qualora	qualora
qualsiasi	qualsiasi
qualsivoglia	qualsivoglia
qualunque	qualunque
quando	quand'
quanto	quant'
quantunque	quantunque
quasi	quasi
que	que
quello	que'
questo	quest’
quindi	quindi
quindici	quindici
raddoppio	raddoppio
rado	rado
raffinato	raffinato
raggio	raggio
ramo	ramo
rapporto	rapporto
recupero	recupero
regalo	regalo
re	rege
re	regi
registro	registro
regno	regno
regolamento	regolamento
regolare	regolati
relatore	relatrice
remo	remi
respiro	respiro
restauro	restauro
resto	resto
rialzo	rialzo
ribasso	ribasso
ricercare	ricercata
ricevere	ricevette
richiamo	richiamo
ricorso	ricorso
ricovero	ricovero
redire	riede
rientro	rientro
retro	rietro
rifiuto	rifiuto
riguardo	riguardo
rilancio	rilancio
rilascio	rilascio
rimanere	rimaso
rimanere	rimasti
rimborso	rimborso
rimedio	rimedio
rimettere	rimesso
rinnovo	rinnovo
rinvio	rinvio
riparo	riparo
ripartire	riparte
riposo	riposo
ripresa	ripresa
risalto	risalto
rischio	rischio
risolvere	risolto
risparmio	risparmio
rispettare	rispettata
rispettare	rispettati
rispetto	rispetto
rispondere	rispose
risposta	risposta
rispondere	rispuos'
rispondere	rispuose
rispondere	rispuosi
restare	ristette
risultato	risultato
ritardo	ritardo
ritmo	ritmo
ritrovo	ritrovo
rivalsa	rivalsa
rivedere	rivisti
rivolgere	rivolti
Rochester	rochester
romano	romana
romano	romane
romanzo	romanzo
rosa	rose
rosso	rossa
rosso	rosse
ruota	rote
rovina	ruina
saggio	saggio
sapere	sai
salario	salario
saluto	saluto
salvo	salvo
santo	santa
santo	sante
senza	sanz'
senza	sanza
essere	sara'
essere	saria
sapere	saver
sbocco	sbocco
scalinata	scalinata
scalo	scalo
scambio	scambio
scapito	scapito
scegliere	scelse
schermo	schermo
schifo	schifo
sci	sci
sciogliere	sciolte
sciopero	sciopero
scolastico	scolastica
scolastico	scolastiche
scolo	scolo
sconosciuto	sconosciuto
sconto	sconto
scontro	scontro
scopo	scopo
scorso	scorso
scuro	scura
scuro	scuro
essere	se'
sebbene	sebbene
secco	secco
sedere	sedea
sedici	sedici
segnare	segnata
segno	segno
signore	segnor
signore	segnore
seguire	seguita
seguire	seguiti
selvaggio	selvaggia
essere	sem
sembiante	sembianti
sembrare	sembiava
essere	semo
senatore	senatrice
sennò	sennò
sentire	senti'
sentire	sentia
seppure	seppure
sequestro	sequestro
serbo	serbe
serbo	serbo
servo	servo
sette	sette
sfilata	sfilata
sfogo	sfogo
sfondo	sfondo
sforzo	sforzo
Shakespeare	shakespeare
essere	siam
siccome	siccome
siciliano	siciliana
essere	sie
essere	sien
significato	significato
signore	signora
silenzio	silenzio
simile	simil
simile	simile
similmente	similemente
sino	sin
sindacato	sindacato
sinistro	sinistro
sistema	sistema
smarrire	smarrita
smettere	smesso
essere	so
essere	so'
soddisfare	sodisfar
soffrire	sofferse
soffrire	sofferto
soffitto	soffitto
sofisticato	sofisticato
soggetto	soggetta
soggiorno	soggiorno
solere	solea
solito	solita
soltanto	soltanto
sommo	sommo
sonoro	sonora
sopra	sopra
sorprendere	sorpresi
sospendere	sospesi
sottoporre	sottoposta
sopra	sovr'
sopra	sovra
sovresso	sovresso
sparire	spariti
spazio	spazio
specchio	specchio
speme	spene
spesa	spesa
spiro	spiro
spirito	spirti
spirito	spirto
splendore	splendor
spremuta	spremuta
spunto	spunto
seguente	ss.
stabilire	stabilita
stabilire	stabiliti
stangata	stangata
essere	stati
essere	stato
questo	ste
questo	sti
stimolo	stimolo
stipendio	stipendio
Storace	storace
straniero	straniere
strazio	strazio
strumento	strumento
questo	stà
su	su
suddetto	suddetta
suo	sui
solere	suole
suolo	suolo
suono	suon
suono	suono
superbo	superba
supporto	supporto
surgere	surge
surgere	surse
Susanna	susanna
suso	suso
sussidiario	sussidiarie
sostanza	sustanza
sé	sé
subito	sùbita
subito	sùbito
tabacco	tabacco
tacere	tacendo
tacere	tacer
tagliare	tagliata
tagliare	tagliati
taglio	taglio
tale	tai
talento	talento
talora	talor
taluno	taluni
taluno	taluno
tanto	tant'
tanto	tanto
tardi	tardi
tasso	tasso
te	te
teatro	teatrino
tedesco	tedesca
telefonata	telefonata
telefonata	telefonate
telefono	telefono
tenere	tenea
tenere	tenute
tessuto	tessuto
testo	testi
testo	testo
the	the
tenere	tien
toccare	tocca
togliere	tolle
togliere	tolta
tono	tono
tormento	tormento
torneo	torneo
tornare	torni
gol	totogol
totoscommessa	totoscommesse
tra	tra
tracollo	tracollo
trarre	tragge
tramite	tramite
tranne	tranne
transito	transito
trapianto	trapianto
trarre	trar
trascorrere	trascorsi
trasportare	trasportati
trasporto	trasporto
travaglio	travaglio
tributario	tributaria
tributario	tributarie
tributo	tributo
trionfo	trionfo
trucco	trucco
tu	tu
turbo	turbo
tutto	tutt'
tuttavia	tuttavia
togliere	tòrre
ubi	u'
uccello	uccello
uccidere	uccisa
uccidere	uccise
udire	udi'
ufficio	ufficio
ultimo	ultime
ultimo	ultimo
unico	unica
uno	un’
uomo	uom
upon	upon
usare	usati
uscire	uscia
uscire	uscìo
utilizzo	utilizzo
vi	v'
vedere	v.
vago	vaga
vaglio	vaglio
vago	vago
valonese	valonesi
vapore	vapor
varco	varco
vecchio	vecchie
vedere	vedea
vedere	vegg'
vedere	veggendo
vedere	veggio
vedere	veggion
venire	vegna
venire	vegno
venire	vegnon
velo	velo
venire	veniamo
venti	vent'
venire	venìa
verso	ver'
vi	vi
viaggio	viaggio
vicino	vicin
vedere	vid'
venire	vien
vincolo	vincolo
vincere	vinta
virtù	virtute
viscosa	viscosa
vivere	vissuto
vizio	vizio
andare	vo
volere	vo'
vocabolo	vocabol
volere	voglia
voi	voi
volere	vole
volere	volea
volo	volo
volere	voluta
vos	vos
vs	vs
volere	vuo'
volere	vuol
volgere	vòlti
volgere	vòlto
Washington	washington
William	william
per	x
zingaro	zingara
zucchero	zucchero
essere	È
essere	é
