2	II
ერთმანეთი	ერთმანეთის
ერთმანეთი	ერთმანეთისა
წერა	ეწერა
უწოდებს	ეწოდება
ყოფნა	ვარ
ყოფნა	ვართ
ვერ	ვერც
ვიდრე	ვიდრე
ავითარებს	ვითარდება
ავითარებს	ვითარდებოდა
ვინმე	ვინმეს
ვინ	ვინც
ავრცელებს	ვრცელდება
ზე	ზე
ზედაპირი	ზედაპირ
ზე	ზეც
ზოგი	ზოგ
ზოგი	ზოგი
ზოგიერთი	ზოგიერთ
თავი	თავ
თავად	თავად
თავიანთი	თავიანთი
თან	თან
თან	თანავე
თბილისი	თბილის
თეატრი	თეატრ
თვით	თვით
თვითონ	თვითონ
თვის	თვის
თვის	თვისა
თითოეული	თითოეული
თუ	თუ
თუმცა	თუმცა
იგი	იგივე
დგომა	იდგა
თვლის	ითვლება
ის(ი)	იმა
ის	იმავე
ის(ი)	იმას
იმეილი	იმეილ
ინგლისური	ინგლ.
ის(ი)	ის
სახავს	ისახავს
იულიუსი	იულიუს
არის	იქნა
არის	იქნას
არის	იქნეს
ყოფს	იყოფა
ცოდნა	იცის
ცოდნა	იცოდა
იწყებს	იწყება
ჯდომა	იჯდა
კავშირი	კავშირ
კენ	კენ
კერძო	კერძო
კი	კი
კითხვა	კითხვებს
კოდექსი	კოდექსის
კონფუცი	კონფუცის
კულტურა	კულტურების
ლათინური	ლათ.
ლექსიკოლოგია	ლექსიკოლოგიის
ლითონი	ლითონების
მაგალითად	მაგ.
მაგმა	მაგმის
მაგრამ	მაგრამ
მაინც	მაინც
იგი	მან
მანამდე	მანამდე
იგი	მანვე
მანძილი	მანძილ
იგი	მას
მასა	მასის
მდე	მდე
მეურნეობა	მეურნეობის
მეღვინეობა	მეღვინეობის
მეცნიერება	მეცნიერებებ
მეცხოველეობა	მეცხოველეობის
მისვლა	მიდის
ეკუთვნის	მიეკუთვნება
მიერ	მიერ
ამჩნევს	მიიჩნევა
მიმართ	მიმართ
მიღება	მიღება
მიღება	მიღების
მიხედვით	მიხედვით
მიხეილ	მიხეილ
იცავს	მოიცავს
მომსახურება	მომსახურების
მონაცემი	მონაცემების
მონაცემი	მონაცემებს
მოქმედი	მოქმედი
მრავალი	მრავალ
მუზეუმი	მუზეუმ
მქონე	მქონე
ნაწარმოები	ნაწარმოებ
ნიადაგი	ნიადაგის
ნივთიერება	ნივთიერებებს
ნორმა	ნორმების
ოთახი	ოთახ
ორი	ორ
ორგანიზმი	ორგანიზმ
ორგანიზმი	ორგანიზმებ
ორი	ორივე
პერიოდი	პერიოდ
ერთი	პირველ
პირობა	პირობებ
პროცესი	პროცეს
პროცესი	პროცესებ
რათა	რათა
რაიმე	რაიმე
რამ	რამ
რა	რასაც
რაღაც	რაღაცას
რაც	რაც
რითი	რითიც
როგორი	როგორებიცა
როგორი	როგორიც
როგორი	როგორიცა
როგორც	როგორც
როდესაც	როდესაც
რომელი	რომელ
რომელი	რომელთაც
რომელი	რომელიმე
რომელი	რომელმაც
რომელი	რომელსაც
რომელი	რომლებ
რომელი	რომლებიც
რომელი	რომლებმაც
რომელი	რომლებსაც
რომელი	რომლითაც
სადაც	სადაც
საიდან	საიდანაც
სამხრეთი	სამხრეთ
საუკუნე	საუკუნეებ
საუკუნე	საუკუნეების
საუკუნე	საუკუნი
საფუძველი	საფუძველ
სახელობა	სახელობის
სახეობა	სახეობების
სახეობა	სახეობის
სახლი	სახლ
სოფი	სოფიმ
სოფი	სოფის
სწავლება	სწავლება
სხვა	სხვ
სხვა	სხვათა
უზრუნველყოფა	უზრუნველყოფა
თქმა	უთხრა
აკავშირებს	უკავშირდება
მაღალი	უმაღლეს
მაღალი	უმაღლესი
მთავარი	უმთავრესად
უნივერსიტეტი	უნივერსიტეტებ
ურთიერთობა	ურთიერთობების
ძველი	უძველეს
ძველი	უძველესი
უწოდებს	უწოდებენ
უჯრედი	უჯრედებ
ფარგალი	ფარგლებ
ფაქტორი	ფაქტორები
ფინანსი	ფინანსები
ფიქრი	ფიქრობ
ფუძემდებელი	ფუძემდებლად
ქვეყანა	ქვეყნებ
ღმერთი	ღმერთის
ღონისძიება	ღონისძიებებს
აყალიბებს	ყალიბდება
ყველაფერი	ყველაფერ
ყოველი	ყოველ
ყოველი	ყოვლისა
ყუთი	ყუთ
დგას	შედგება
შედგენილობა	შედგენილობის
სწავლობს	შეისწავლიან
სწავლობს	შეისწავლის
შეაქვს	შეიტანა
ქმნის	შეიქმნა
იცავს	შეიცავს
შემდეგ	შემდეგ
შემდეგ	შემდეგაც
იღებს	შემოიღო
შემსწავლელი	შემსწავლელ
შესახებ	შესახებ
შესწავლა	შესწავლა
შეფასება	შეფასების
შექმნილი	შექმნილი
ში	ში
ში	შიც
შორის	შორის
შორს	შორს
შრომა	შრომებ
შუა	შუა
ყრის	ჩაეყარა
თვლის	ჩაითვალოს
სახავს	ჩაისახა
აყალიბებს	ჩამოყალიბდა
მე	ჩემ
ჩემი	ჩემს
ჩრდილოეთი	ჩრდილოეთ
ცხოველური	ცხოველურ
ადგენს	წარმოადგენს
წარმოება	წარმოება
წარმოება	წარმოების
წარმოება	წარმოებისა
ქმნის	წარმოიქმნება
წარმოქმნილი	წარმოქმნილ
წიაღი	წიაღ
წიაღისეული	წიაღისეულის
წელი	წლებ
წელი	წლი
წყალი	წყლებ
ყოფნა	ხარ
ხდის	ხდება
ხელი	ხელ
ხოლო	ხოლო
ჯანდაცვა	ჯანდაცვის
დაგვანება	ჰგავდა
