%	%-l
%	%-lt
%	%-ni
644	644-st
analüüsi=mine	analüüsimine
andeks	andeks
andmekaevanda=mine	andmekaevandamine
andmekaevanda=mine	andmekaevandamise
andmekaevanda=mine	andmekaevandamist
andmekaevandus	andmekaevanduse
andmeskalaarne	andmeskalaarse
andmeskalaarne	andmeskalaarses
Andres	andres
Ansip	ansip
arstiteaduskond	arstiteaduskonna
arust	arust
arvel	arvel
arvelt	arvelt
asemel	asemel
asemele	asemele
asuta=tud	asutatud
ATS	atsi
b	b.
broileriliha	broileriliha
bronhoskoopia	bronhoskoopial
BurneR	burner
C5	c5
CALIBRATE	calibrate
d	d.
detrusor	detrusor'i
DoGGy	doggy
dubleeri=tud	dubleeritud
dünaamiliselt	dünaamiliselt
ebaproportsionaalselt	ebaproportsionaalselt
ebaseaduslikult	ebaseaduslikult
edasta=tav	edastatavate
eel	eel
eeldatava=lt	eeldatavalt
eelnevalt	eelnevalt
eeltoodud	eeltoodud
ees	ees
eeskätt	eeskätt
Eestimaa	eestimaa
eikosapentaeenhape	eikosapentaeenhappe
empiirilise=lt	empiiriliselt
enamjaolt	enamjaolt
endiselt	endiselt
ennekõike	ennekõike
eosinofiilne	eosinofiilset
erakordselt	erakordselt
erastamine	erastamine
eriliselt	eriliselt
erinevalt	erinevalt
erinev	erinevat
eripruul	eripruul
Ernesaks	ernesaks
esialgu	esialgu
esile	esile
esinemissagedus	esinemissagedus
esmakordselt	esmakordselt
ettenähtud	ettenähtud
ETU	etu
ETV	etv
fikseeri=tud	fikseeritud
for	for
forsseeritud	forsseeritud
from	from
gastroenteroloog	gastroenteroloogide
geofüüsika=line	geofüüsikalised
geofüüsika=line	geofüüsikaliste
globaalsiin	globaalsiini
haaratu=s	haaratusega
hakul	hakul
Hansapank	hansapanga
Hansapank	hansapank
HE	he
heaks	heaks
hingamistee	hingamisteede
hinnangu=liselt	hinnanguliselt
Hispaania	hispaania
hoolikalt	hoolikalt
hoolimata	hoolimata
hukka	hukka
hulgaliselt	hulgaliselt
hulgast	hulgast
hulka	hulka
huvitama	huvita
huvitav	huvitavat
hõiva=tu	hõivatuist
hõiva=tu	hõivatute
hõiva=tu	hõivatutest
hüpertensioon	hüpertensiooni
hüppeliselt	hüppeliselt
i.a	i.a.
IG	ig
igasugu	igasugu
igaüks	igaühel
igaüks	igaühele
Iirimaa	iirimaa
ikka	ikka
Ilmoja	ilmoja
ilmselgelt	ilmselgelt
ilmselt	ilmselt
in	in
Indrikson	indrikson
infomahutavus	infomahutavus
infomahutavus	infomahutavusega
inkontinents	inkontinentsi
intensiivselt	intensiivselt
IR	ir
iseenese	iseenda
iseenese	iseendaks
iseenese	iseendale
iseenese	iseendas
ise	isegi
iseseisvalt	iseseisvalt
iseäranis	iseäranis
Jaan	jaan
jaapani	jaapani
jadaprogramm	jadaprogrammi
jaoks	jaoks
jne	jne.
jooksul	jooksul
jt	jt.
juhuslikult	juhuslikult
julgelt	julgelt
julmalt	julmalt
juures	juures
juurest	juurest
järgi	järgi
järgmiselt	järgmiselt
järgnevalt	järgnevalt
järjekindlalt	järjekindlalt
järjepidevalt	järjepidevalt
järjest	järjest
järk-järgult	järk-järgult
järsku	järsku
järsult	järsult
jõul	jõul
Jüri	jüri
kaasas	kaasas
kaasasündinud	kaasasündinud
Kadri	kadri
kaela	kaela
kahtlemata	kahtlemata
kaitsejõud	kaitsejõudude
kaitsepolitsei	kaitsepolitsei
kalajahu	kalajahu
kalaõli	kalaõli
kallal	kallal
kallale	kallale
kanabroiler	kanabroilerite
kanaema	kanaema
kandis	kandis
kannul	kannul
kanti	kanti
karasta=tud	karastatud
Karuks	karuks
karusmari8	karusmari8
katoliku	katoliku
kaugemale	kaugemale
kaugusel	kaugusel
kaupa	kaupa
kergelt	kergelt
keskkriminaalpolitsei	keskkriminaalpolitsei
keskmiselt	keskmiselt
keskpunkt	keskpunkti
keskvõim	keskvõimu
kiiremini	kiiremini
kilomeeter	kilomeetri
kindlalt	kindlalt
kinnisvaramiljonär	kinnisvaramiljonäride
kirjutama	kirjuta
kiuste	kiuste
kodanikuportaal	kodanikuportaalis
kodu	kodu-
koduturg	koduturule
kogemata	kogemata
koguni	koguni
koht	kohad
kohal	kohal
kohale	kohale
kohalt	kohalt
koht	kohas
kohaselt	kohaselt
koht	kohast
kohati	kohati
kohutavalt	kohutavalt
kokku	kokku
kolesteroolisisaldus	kolesteroolisisalduse
kombel	kombel
kooru=nud	koorunud
koosta=tud	koostatud
korduvalt	korduvalt
korraga	korraga
korral	korral
korralikult	korralikult
kostma	kostis
kr	kr
kreeka	kreeka
krohvi=tud	krohvitud
kuis	kuis
kujul	kujul
kujutama	kujuta
kulul	kulul
kunstiteraapia	kunstiteraapiat
kurv	kurvis
kust	kust
käes	käes
käest	käest
käigus	käigus
Kärss	kärss
käsuvoog	käsuvoo
kätte	kätte
kõige	kõige
kõlama	kõlas
kõrgele	kõrgele
kõrgelt	kõrgelt
kõrgtehnoloogia	kõrgtehnoloogia
kõrval	kõrval
kõrvale	kõrvale
kõrvalt	kõrvalt
külge	külge
küljes	küljes
küllasta=tud	küllastatud
küllastu=mata	küllastumata
külmunud	külmunud
kümneaastane	kümneaastase
küüsi	küüsi
lahti	lahti
lai	laia
laialt	laialt
lai	laias
laienemine	laienemist
las	las
laps	last
lausa	lausa
ligemale	ligemale
liha	lihas
lihtsusta=tud	lihtsustatud
liialt	liialt
liigselt	liigselt
linaseemnejahu	linaseemnejahu
linnuliha	linnuliha
linnuliha	linnulihas
lugu	loo
looma	loodi
loom	loomast
loomine	loomise
loomine	loomisega
loomine	loomiseks
loomine	loomisele
loomine	loomist
LRE	lre
luulekogu	luulekogu
minema	lähe
lähemale	lähemale
lähemalt	lähemalt
lõppema	lõpeb
lõplikult	lõplikult
lõppema	lõppes
lõputult	lõputult
lõviosa	lõviosa
lühidalt	lühidalt
lühike	lühikese
lühike	lühikesed
maailmapank	maailmapanga
maailmapank	maailmapank
Madis	madis
maha	maha
ei	mai
majanduslikult	majanduslikult
maksimaalselt	maksimaalselt
Mart	mart
massiliselt	massiliselt
meeldivalt	meeldivalt
meeleheitlikult	meeleheitlikult
meeletult	meeletult
mehita=mata	mehitamata
metaandmed	metaandmete
MH	mh
Mihkelsch	mihkelsch
milj	milj.
mitmekesisus	mitmekesisuse
mitteaktiivne	mitteaktiivsed
mitteaktiiv=sus	mitteaktiivsuse
mittetraditsiooniline	mittetraditsiooniliste
mobiilsus	mobiilsus
mobiilsus	mobiilsuse
moodi	moodi
moodustu=nud	moodustunud
MS	ms
mina	mulle
multiskalaarne	multiskalaarse
multiskalaarne	multiskalaarses
muu	muul
muu	muule
my	my
mälulülitus	mälulülituste
mäluruum	mäluruumi
märgatavalt	märgatavalt
märkimisväärselt	märkimisväärselt
mõjul	mõjul
mõnusalt	mõnusalt
mõõduka=m	mõõdukamaks
nakatu=nu	nakatunuid
napilt	napilt
Neeme	neeme
tema	neilt
nesiritiid	nesiritiidi
nesiritiid	nesiritiidil
nesiritiidravi	nesiritiidravi
nii-öelda	nii-öelda
niiöelda	niiöelda
nimel	nimel
nimelt	nimelt
nn	nn.
norskamine	norskamine
nr	nr
nurkmoment	nurkmomendi
nüüd	nyyd
näiteks	näiteks
näol	näol
nõus	nõus
odavalt	odavalt
of	of
ohtralt	ohtralt
olemasolev	olemasolevaid
olemasolev	olemasolevate
omaenese	omaenda
oma	omaks
operand	operande
or	or
osaaeg	osaajaga
osalt	osalt
osas	osas
osavalt	osavalt
otsa	otsa
otsas	otsas
otsast	otsast
paast	paastu
paigal	paigal
paiku	paiku
paksus	paksus
pakkuma	pakuks
palestiinlane	palestiinlaste
palju	paljuski
paralleelselt	paralleelselt
parasjagu	parasjagu
paratamatult	paratamatult
parenhümatoosne	parenhümatoosse
pidama	pea
pidama	peagi
pidama	peakski
peal	peal
peale	peale
pealt	pealt
peamiselt	peamiselt
pehmelt	pehmelt
pelgalt	pelgalt
peremetsaomanik	peremetsaomanike
pidevalt	pidevalt
pidama	pidigi
pihta	pihta
piimatootja	piimatootjaid
piimatootja	piimatootjate
piires	piires
piirikoer	piirikoera
pikalt	pikalt
pikapatsi=line	pikapatsiline
piki	piki
Pilge	pilge
olema	ple
poliitiliselt	poliitiliselt
olema	polnud
polüküllastu=mata	polüküllastumata
poolest	poolest
poolt	poolt
praktiliselt	praktiliselt
projektijuhtimine	projektijuhtimise
protsess	protsessid
protsessorüksus	protsessorüksus
protsessorüksus	protsessorüksuse
protsessorüksus	protsessorüksuste
pruukima	pruugi
puhul	puhul
puur	puuris
päralt	päralt
pärast	pärast
päris	päris
põhiliselt	põhiliselt
põhitöö	põhitöö
põhjal	põhjal
põhjalikult	põhjalikult
põhjalikumalt	põhjalikumalt
põikkolmik	põikkolmikus
põllumaa	põllumaad
põllumajandusminister	põllumajandusminister
põllumajandusülikool	põllumajandusülikooli
pöörlemiskiirus	pöörlemiskiiruse
püsivalt	püsivalt
raames	raames
rahaliselt	rahaliselt
rahul	rahul
rahule	rahule
rangelt	rangelt
rapsiõli	rapsiõli
raskelt	raskelt
raskus	raskused
rasvhape	rasvhapete
rasvhape	rasvhappeid
rasvhappeline	rasvhappeline
rasvhappeline	rasvhappelise
rasvhappeline	rasvhappelisele
rasvhappeline	rasvhappelist
raudselt	raudselt
ravikulu	ravikulu
reaalselt	reaalselt
rikasta=mine	rikastamiseks
rikkalikult	rikkalikult
ringis	ringis
roheleeguan	roheleeguan
rootsiaegne	rootsiaegse
ruttu	ruttu
rõõmsalt	rõõmsalt
rööpse=lt	rööpselt
saama	saagi
Saaremaa	saaremaa
saatel	saatel
saama	sai
Saksamaa	saksamaa
samaaegselt	samaaegselt
sammuma	sammus
sarnaselt	sarnaselt
seas	seas
seast	seast
sedapuhku	sedapuhku
seega	seega
see	seegi
selgelt	selgelt
selgemalt	selgemalt
selguma	selgus
see	sellegi
selliselt	selliselt
seltsis	seltsis
seoses	seoses
sfinkter	sfinkteri
siiani	siiani
Siiditee	siiditee
siiralt	siiralt
Sirius	sirius
sisemiselt	sisemiselt
sisuliselt	sisuliselt
siuke	siuke
Sixie	sixie
smth	smth
sobiv	sobivat
soojalt	soojalt
spekulatiivtöötlus	spekulatiivtöötluse
spetsiaalselt	spetsiaalselt
Sposato	sposato
stabiilselt	stabiilselt
statistiliselt	statistiliselt
Stepan	stepan
suhtes	suhtes
sunnil	sunnil
surnu	surnuid
suunas	suunas
sääst	sääste
sõbralikult	sõbralikult
sõltuvalt	sõltuvalt
sõnama	sõnas
sööt	sööda
sööde=tud	söödetud
südame-veresoonkond	südame-veresoonkonna
süstoolne	süstoolse
taadi=ke	taadike
tabama	tabas
tahtma	tahagi
tahes	tahes
tema	talle
talleta=tud	talletatud
teadlikult	teadlikult
teadmushõive	teadmushõive
teatud	teatud
tegema	teeks
teel	teel
teenindussektor	teenindussektoris
tegelev	tegelevate
tegum	tegumi
tegum	tegumite
sina	teid
sina	teil
sina	teile
teoreetiliselt	teoreetiliselt
tervelt	tervelt
the	the
tingimata	tingimata
tinglikult	tinglikult
to	to
toel	toel
tohutult	tohutult
toimuv	toimuvat
Tolk	tolk
too	tolle
Tom55	tom55
ToolBox	toolbox
Toomas	toomas
Toyota	toyota
traditsiooniliselt	traditsiooniliselt
trahheobronhiaalne	trahheobronhiaalne
triglütseriid	triglütseriidide
Tsee	tsee
tsiviliseeri=tud	tsiviliseeritud
tsükli=line	tsükliliste
tugevamini	tugevamini
tulenevalt	tulenevalt
tulema	tuli
tulema	tuligi
tunduvalt	tunduvalt
tuntuim	tuntuim
tuntuim	tuntuimad
täielikult	täielikult
täiendavalt	täiendavalt
täiendav	täiendavat
täis	täis-
täisaeg	täisajaga
täiusta=tud	täiustatud
täna	täna
tänaseni	tänaseni
täpsemalt	täpsemalt
täpsemini	täpsemini
tõenäosus	tõenäosused
tõhusalt	tõhusalt
tõsiselt	tõsiselt
tõttu	tõttu
töö+taolek	töötaoleku
töövorm	töövormide
Tšehhi	tšehhi
USB	usb
uuringunädal	uuringunädalal
uuri=tav	uuritav
uuri=tav	uuritavat
vaatamata	vaatamata
vabanenud	vabanenud
vabatahtlikult	vabatahtlikult
vaevalt	vaevalt
vahel	vahel
vahele	vahele
vahelt	vahelt
vaikselt	vaikselt
vaimselt	vaimselt
valdavalt	valdavalt
vanakreeka	vanakreeka
vapralt	vapralt
varal	varal
varjus	varjus
vastas	vastas
vastav	vastavat
vastupidiselt	vastupidiselt
Vasur	vasur
veelgi	veelgi
venekeelne	venekeelne
Venemaa	venemaal
versus	versus
viimaks	viimaks
ViinaMuri	viinamuri
viisakalt	viisakalt
Vladimir	vladimir
VR	vr
väel	väel
väidetavalt	väidetavalt
väliselt	väliselt
välisinvesteering	välisinvesteeringute
väliskapital	väliskapitali
välisministeerium	välisministeerium
välisminister	välisminister
välispoliitika	välispoliitika
väljakujunenud	väljakujunenud
väljas	väljas
välkmälu	välkmälude
välkmäludraiv	välkmäludraiv
välkmäludraiv	välkmäludraivi
välkmäludraiv	välkmäludraivide
välkmäludraiv	välkmäludraivides
vältel	vältel
väärikalt	väärikalt
võibolla	võibolla
võimalikult	võimalikult
võima	võime
võrdselt	võrdselt
üks	yks
üldse	yldse
üle	yle
|=X=|	|=x=|
ära	Ära
ära	Ärge
Ühendus	Ühenduse
Ühispank	Ühispanga
Ühispank	Ühispank
üks	Üks
Ülikool	Ülikool
Ülikool	Ülikooli
Ülikool	Ülikoolis
Ämmvei	ämmvei
ärikeskkond	ärikeskkonna
äärde	äärde
ääres	ääres
äärest	äärest
äärmiselt	äärmiselt
õpiobjekt	õpiobjekte
õpiobjekt	õpiobjektide
õpiressurss	õpiressursse
õpiressurss	õpiressursside
õpitarkvara	õpitarkvara
õppesisu	õppesisu
õrnalt	õrnalt
üks	ühegi
üheselt	üheselt
üks	üheski
ühesõnaga	ühesõnaga
ühiselt	ühiselt
ühtlaselt	ühtlaselt
ühtlasi	ühtlasi
üksainus	üksainus
üksteise	üksteist
üldjoon	üldjoontes
üldjuht	üldjuhul
üldlipiid	üldlipiididest
üleval	üleval
üleöö	üleöö
üleüldse	üleüldse
ülimalt	ülimalt
üllatuslikult	üllatuslikult
üllatusmuna	üllatusmuna
ümberpaiknemine	ümberpaiknemine
ümberpaiknemine	ümberpaiknemise
ümberstruktureeru=mine	ümberstruktureerumine
ümberstruktureeru=mine	ümberstruktureerumise
ω-3	ω-3-
ω-3-rasvhape	ω-3-rasvhapete
ω-3-rasvhape	ω-3-rasvhapetega
ω-3-rasvhape	ω-3-rasvhapped
ω-3-rasvhape	ω-3-rasvhappeid
ω-6-rasvhape	ω-6-rasvhapete
ω-linoleenhape	ω-linoleenhapet
ω-linoleenhape	ω-linoleenhappe
ω-rasvhape	ω-rasvhapete
