ci	-ci
Jean	Jean
Jean-Baptiste	Jean-Baptiste
Jean-Pierre	Jean-Pierre
Jersey	Jersey
Jehan	Johan
Jehanne	Johanne
Jura	Jura
Langlois	Langloys
Lion	Lion
Liège	Liège
Love	Love
Luc	Luc
Lusignan	Lusingan
M	M
mise	MISE
Mac	Mac
Maçon	Machon
Mamie	Mamie
Manche	Manche
Mangeur	Mangeur
Manuel	Manuel
Marc	Marc
Marchand	Marchant
Maria	Maria
Marie	Marie
Mark	Mark
Marketing	Marketing
Martin	Martin
Martine	Martine
Me	Me
Mesnil	Mesnil
Michel	Michiell
Milan	Milan
Miles	Miles
Museum	Museum
Méditerranée	Méditerranée
Napoléon	Napoléon
Nef	Nef
New	New
Nicolas	Nicollas
Noël	Noell
Notre-Dame	Notre-Dame
Nouvelle-Guinée	Nouvelle-Guinée
Noël	Noël
Oeuvre	Oeuvre
Olivier	Olivier
Olivier	Ollyvier
Open	Open
Orient	Orient
Oued	Oued
Pageot	Pageot
Panama	Panama
Papa	Papa
Pas-de-Calais	Pas-de-Calais
Pascal	Pascal
Patron	Patron
Pays-Bas	Pays-Bas
Petit	Petyt
Philippe	Phelipes
Philémon	Phylemon
Pie	Pie
Pierre	Pierre
Pierre	Pierres
Port	Port
Porto	Porto
prix	Prix
Productions	Productions
Prunier	Prunier
Pékin	Pékin
qui	Qui
Rabat	Rabat
Rangers	Rangers
Records	Records
Rennes	Rennes
René	René
Rhône-Alpes	Rhône-Alpes
Richard	Richard
Richelieu	Richelieu
Ring	Ring
Robert	Robert
Robin	Robin
Rossignol	Rosynoll
Rouget	Rouget
Roussin	Roussin
Royaume-Uni	Royaume-Uni
Rue	Rue
Réunion	Réunion
S	S
Saint	Saint
Saint-Martin	Saint-Martin
Saint-Pierre	Saint-Pierre
Sainte	Sainte
Salé	Salé
Seine	Seine
Serge	Serge
Sienne	Sienne
Sohier	Sohyer
Star	Star
State	State
Suisse	Suisse
Sylvain	Sylvain
Tardif	Tardyf
Tardif	Tardyff
Toscane	Toscane
Urbain	Urbain
VIe	VIe
Val	Val
Valence	Valence
Van	Van
Victoria	Victoria
Vienne	Vienne
Vidamors	Vydamors
âge	aage
abandonner	abandonné
abandonner	abandonnée
abattre	abattu
accompagner	accompagnant
accompagner	accompagné
accompagner	accompagnée
accompagner	accompagnés
accorder	accorderent
accorder	accordé
accorder	accordée
accorder	accordés
accoutumer	accoustumé
accuser	accusey
accuser	accusée
achever	achevé
Aclasta	aclasta
actrice	actrice
administrer	administré
administrer	administrée
admettre	admis
adonc	adoncque
adopter	adopté
adopter	adoptée
adopter	adoptées
adresser	adressé
adverse	aduerse
avertir	adverty
affaiblir	affaiblie
affirmer	afferme
affirmer	affermez
agir	agissant
aimer	aimé
ainsi	ainsy
ajouter	ajoute
ajouter	ajouté
Alfred	alfred
alors	alhors
aller	allant
allemand	allemande
aller	allerent
aller	alloet
aller	alloient
aller	allyt
aller	allée
amener	amène
améliorer	amélioré
américain	américaine
André	andré
Angiox	angiox
appartenir	apartenant
appartenir	apartenoet
appeler	apelley
apercevoir	aperceult
aploit	aplet
appartenir	appartenant
appeler	appelé
appeler	appelés
appliquer	applique
appointer	appointees
après	apres
après	aprés
aranéomorphe	aranéomorphes
arracher	arraché
arrêt	arrest
arriver	arrivé
arriver	arrivés
arriver	arryverent
arrêter	arrêtée
arrêter	arrêtés
avoir	as
assassiner	assassiné
assister	assisté
associer	associée
assurer	assuré
assurer	assurés
attacher	attaché
atteindre	attaint
atteindre	atteint
atteindre	atteints
attendre	attendu
attester	attesté
attribuer	attribué
attribuer	attribuée
attribuer	attribués
avant	auant
aucunefois	aucunesfois
avec	auec
aucun	aulcune
aucun	aulcuns
autre	aultre
autre	aultres
autrui	aultruy
avoir	auoient
avoir	auoir
avoir	auoit
auprès	auprés
avoir	aura
aussi	aussy
autoriser	autorisé
autant	auttant
avant	av.
avoir	avoet
avoir	avoient
avoir	avouns
avec	avuec
avec	avuecque
avec	avueque
avoir	avés
avoir	ayans
avoir	ayantz
aide	aynde
bassin	bachin
baie	baie
baillir	bailly
bailli	baillyf
bailli	baillyff
baser	basé
baser	basée
baser	basées
baser	basés
battre	bat
battre	battu
battre	battus
beaux-arts	beaux-arts
beau	belles
bête	beste
bête	bestes
bisphosphonate	bisphosphonates
blanc	blanches
blasphémateur	blasphemateur
blé	bley
bois	boes
bon	bonnes
border	bordé
bord	bort
bruit	bruyt
brûler	brûlée
bâtir	bâti
ça	ca
cacher	cache
cacher	cachée
candidate	candidate
canonnier	cannonnier
capitale	capitale
capitaine	cappitaine
caractériser	caractérisé
carrière	caryere
ceci	cecy
cela	cela
celui	celluy
celui	celuy
chercher	cercher
certains	certains
ce	ceste
cedit	cestedite
celui	ceulx
changer	changé
chanteuse	chanteuse
charger	chargee
charger	chargé
charger	chargée
Charles	charles
château	chateau
chercher	cherche
cheval	chevall
cinq	chinq
choisir	choisi
choisir	choisis
chose	choze
clair	claires
classer	classé
classer	classées
Claude	claude
clé	clayff
clore	clorre
Collas	collas
Collin	collin
comme	come
commander	commandé
commander	commandée
communal	communale
compagnie	compaignie
compagnon	compaignons
comparer	comparé
comporter	comporte
composer	composée
comprendre	compris
condamner	condamnée
conduire	conduit
connétable	conestable
connétable	conestables
confesser	confesse
confirmer	confirmé
confirmer	confirmée
connaître	congnoest
connaissance	congnoissance
connaître	congnoistre
connaître	connait
connaître	connu
consacrer	consacré
consacrer	consacrée
conséquence	consequence
conserver	conservé
conserver	conservés
considérer	considérant
consommer	consommé
constituer	constitué
constituer	constituée
contenir	contenant
contrat	contract
convenir	convient
copie	coppie
côte	coste
côté	costey
courant	courante
courtil	courtyll
courtil	courtyllz
courtil	courtylz
coûtage	coustages
coûter	coustey
couvrir	couvrant
créer	créé
ci	cy
chez	cyeulx
côtier	côtière
de	d
Daniel	daniel
David	david
décembre	decembre
décision	decision
déclarer	declarer
déclarer	declarey
dedans	dedens
défendeur	defendeur
défendre	defendre
défendre	defendu
défense	defense
défense	defenses
délai	delay
demander	demandé
depuis	dempuys
demi	demy
Denise	denise
dent	dentz
déposant	deposant
déposition	deposition
déposition	depositions
dépens	despens
derrain	desrain
derrain	desrainne
dérober	desroba
dérober	desrobey
dessous	dessoubz
destiner	destiné
destiner	destinée
destiner	destinés
devant	deuant
dûment	deubment
deux	deulx
devoir	devons
dire	dict
dire	dient
diminuer	diminué
diriger	dirigé
diriger	dirigée
dire	disoet
disposer	dispose
disputer	disputé
dire	dit
dire	dits
diviser	divisé
devoir	doit
devoir	doiuent
dominer	dominant
donner	donnant
donner	donné
donner	donnés
doter	doté
devoir	doyuent
dresser	dresse
droit	droict
diable	dyable
dimanche	dymenche
dire	dyst
décider	décidé
déclarer	déclaré
décorer	décoré
décrire	décrits
décéder	décédé
décéder	décédée
dédier	dédié
dédier	dédiée
définir	défini
définir	définis
dépasser	dépassé
dépendre	dépendant
déposer	déposé
députée	députée
désigner	désigné
désigner	désignée
désigner	désignés
développer	développé
devoir	dû
eau	eaue
lui-même	elle-même
lui	elles
eux-mêmes	elles-mêmes
emprisonner	emprisonné
empêcher	empêché
enchaîner	enchaîné
encore	encores
encore	encoure
enfant	enffant
engager	engagée
enlever	enlevé
enlever	enlève
enquête	enqueste
enquérir	enquys
enseigner	enseigne
enseigner	enseigné
ensemble	enssemble
ensuivre	enssuyt
ensuivant	enssuyvant
entendre	entendu
enterrer	enterré
entourer	entouré
entourer	entourée
entrer	entrait
entraîner	entraînant
entraîner	entraîné
entre	entres
entretenir	entretenu
envers	enuers
environs	environs
envisager	envisagé
envisager	envisagées
envoyer	envoyé
environ	envyron
herse	erche
Eric	eric
écrire	escrire
écriture	escritures
église	esglize
espace	espasse
être	estant
être	estantz
être	estey
être	estoent
être	estoet
être	estoient
être	estoit
être	estoyent
être	estre
être	esté
être	etre
avoir	eult
il	eulx
avoir	eust
eux-mêmes	eux-mêmes
exclure	exclu
extra	extrà
faire	faicte
fait	faicts
femme	fame
femme	fames
faux	fausses
financier	financière
fixer	fixé
fonder	fondé
fonder	fondée
fonder	fondées
forcer	forcés
former	formant
former	formé
former	formée
former	formés
fort	forte
fossé	fossey
fouaille	fouaille
forêt	fourest
fournir	fournis
fois	foys
fractionner	fractionnée
François	françois
frapper	frapey
frère	frere
fuir	fui
être	fust
faire	fyrent
faire	fyst
gagner	gagné
garder	gardee
garder	gardé
gens	gentz
grec	grecque
gros	grosse
Guillaume	guillaume
Guillaume	guillome
général	générale
h	h
haut	haute
homme	homes
hôtel	hotel
hulque	hourque
je	i'
icelui	icelle
cil	icelles
icelui	iceluy
icelui	iceux
ici	icy
identifier	identifié
je	ie
il	ill
lui	ils
il	ilz
implanter	implantée
imposer	imposé
imposer	imposées
impérial	impériale
incarcérer	incarcéré
indiquer	indique
indiquer	indiqué
indiquer	indiquée
inscrire	inscrit
installer	installé
international	internationale
intituler	intitulé
intraveineux	intraveineuse
intégrer	intègre
inventaire	inuentaire
investir	investi
jour	iour
ISBN	isbn
île	isle
île	isles
issu	issues
issu	issus
jugement	iugement
juger	iugé
jurer	iurer
jurer	iurez
jusque	iusques
moi	j'
Jacques	jacques
Jammes	jammes
moi	je
Jean	jean
Jeanne	jeanne
jeudi	jeudy
Jehan	johan
Jehanne	johanne
John	john
joueuse	joueuse
jouer	joué
juger	jugé
juin	juing
jusque	juscque
km	km
lex	l.
laisser	laisse
laisser	laissé
lancer	lancé
lancer	lancée
lancer	lancées
laine	laynne
lequel	lequell
ledit	lesditez
ledit	lesditz
lequel	lesquelz
libre	libres
libérer	libéré
libérer	libérés
lier	lie
lier	lié
lier	liée
local	locale
loquet	loket
lendemain	londemain
longer	longe
long	longue
long	longues
lourd	lourde
lourd	lourdes
il	luy
lit	luyct
lieu	lyeu
lieutenant	lyeutenant
moi	m'
maintenir	maintenue
majeur	majeure
mal	mall
manquer	manqué
marquer	marqué
marquer	marquée
marquer	marqués
match	matches
matière	matiere
matière	matieres
mauvais	maulvais
mauvais	maulvays
mai	may
mais	mays
moi	me
mer	meir
menacer	menacé
menacer	menacées
mener	menée
mercredi	mercredy
même	mesme
même	mesmes
ménage	mesnage
maître	mestre
mesurer	mesurée
mettre	mettoet
Michael	michael
Michel	michel
modifier	modifié
modifier	modifiée
mois	moes
moi	moi
montrer	montre
monter	monté
moyennant	moyennant
mois	moys
municipal	municipale
midi	mydy
mettre	myndrent
mettre	myns
mettre	mynst
national	nationale
national	nationales
naviguer	navigerent
niance	neances
Nicolas	nicolas
Nicolas	nicollas
noir	noire
nommer	nommé
nommer	nommée
notre	nostre
noter	noté
nourrir	nourri
nouveau	nouueau
nul	null
nuit	nuyct
ni	ny
naître	née
obliger	obligé
obliger	obligés
observer	observé
observer	observée
observer	observés
obsèque	obsèques
occuper	occupé
oral	orale
ordonner	ordonné
organiser	organisées
oublier	oublié
outre	oultre
ouvrir	ouvre
ouïr	ouy
ouïr	ouyt
paquet	pacquet
paquet	pacquetz
Papon	papon
parfait	parfaite
parjure	pariure
parler	parlant
parler	parlé
parmi	parmy
paroisse	paroesse
pars	partes
participer	participe
partir	partyrent
parvenir	parvenus
passer	passant
passer	passee
passer	passees
passer	passey
passer	passées
passer	passés
patient	patientes
payer	payé
penser	pensse
perdre	perdu
père	pere
péremptoire	peremptoires
permanent	permanente
paire	perre
percevoir	perçue
pouvoir	peult
peupler	peuplée
pouvoir	peuuent
pièce	pieces
pièce	pieche
pièce	pieches
Pierre	pieres
pinasse	pinache
pinasse	pinasche
placer	placé
placer	placée
plaindre	plaignoet
pleindre	plaingnoet
playoff	playoffs
politico-financier	politico-financière
porter	portant
porter	portoet
porter	porté
poser	posé
poule	poulles
pouvoir	pourroit
pourvu	pourueu
pousser	pousse
pouvoir	pouvoient
payer	poyer
poisson	poysson
prendre	prenant
présence	presence
présent	present
présent	presente
présent	presentz
présenter	presentés
prêter	prestey
preuve	preuue
principal	principale
procéder	proceder
procéder	procedé
procès	procez
promettre	promis
proposer	proposé
proposer	proposées
proposer	proposés
protéger	protégée
protéger	protégés
prouver	prouuer
prouver	prouué
provoquer	provoqué
provoquer	provoquée
prendre	pryndrent
prendre	prynt
prendre	pryntz
prix	prys
puis	puys
quelques	quelques
quérir	querir
quérir	queryr
quinze	quinse
quoi	quoy
qui	quy
qui	quòd
rapporter	raporte
rappeler	rappelé
rapporter	rapporté
recevoir	receu
recevoir	receuoir
recevoir	receuë
recommander	recommandée
reconnaître	recongneult
reconnaître	reconnue
reconnaître	reconnus
refuser	refusé
rejeter	rejeté
relatif	relative
relier	reliés
reléguer	relégué
remettre	remis
remonter	remonte
rencontrer	rencontré
rencontrer	rencontrés
rendre	rendant
rendre	rendyt
rentrer	rentré
réplique	replique
reposer	repose
repousser	repousse
reprendre	repris
représenter	représenté
représenter	représentée
représenter	représentées
requérir	requerir
requête	requeste
requérir	requys
réservé	reservey
respecter	respecté
répondre	respondre
réponse	response
retirer	retiré
retirer	retirées
retourner	retourne
retourner	retourné
retraite	retraite
revenir	revient
recevoir	reçus
Richard	richard
Robert	robert
reine	roigne
royal	royale
rue	rues
ruine	ruines
réaliser	réalisé
réaliser	réalisée
réaliser	réalisées
réaliser	réalisés
réclamer	réclame
régulier	régulière
répartir	réparties
résider	résidant
résulter	résultant
rétrocommission	rétrocommissions
réussir	réussi
révéler	révélé
savoir	sachant
sondit	sadite
saisir	saesy
sahraoui	sahraouis
salvation	saluations
sanguin	sanguine
seon	saon
saule	saulx
savoir	saura
savoir	savons
secret	secrètes
sec	seic
semaine	sepmainnes
être	seroient
être	seroit
être	seroyent
servir	seruir
servir	servant
signer	signee
signe	signes
signifier	signifiant
être	soet
somme	somme
sous	soubz
souffrir	souffrant
soumettre	soumis
soutenir	soustenir
se	soy
être	soyent
spécial	spéciales
statue	statues
structure	structures
subir	subit
soumettre	submyns
suivre	suivie
supplier	supliant
surprendre	surpris
surprise	surprise
survenir	survynt
sushi	sushis
suite	suytte
suivant	suyuant
suivant	suyvant
sien	syen
sien	syenne
sien	syennes
savoir	sçauoir
savoir	sçayt
sœur	sœurs
toi	t'
table	tables
tache	taches
tarder	targerent
tasse	tasses
tenir	tenu
terre	terres
son	tes
témoignage	tesmoignage
témoin	tesmoin
témoin	tesmoins
Thomas	thomas
tenir	tienne
tenir	tiens
tirer	tire
tirer	tiré
toilette	toilettes
tomber	tombée
tonne	tonnes
total	totale
tourner	tourne
toutefois	toutesfois
tout	toutte
trace	traces
transformer	transformé
transformer	transformée
trouble	troubles
trouver	trouverent
trouver	trouvey
trouver	trouvés
trois	troys
toi	tu
tuer	tuey
type	types
tâche	tâche
tâche	tâches
téléphone	téléphone
un	ugne
un	ung
universel	universelle
usine	usines
utiliser	utilisée
utiliser	utilisés
venir	venant
vendredi	vendredy
vendre	vendus
vendre	vendyt
venir	venus
véritable	veritable
vérité	verité
vert	verte
vue	veuë
visite	visites
un	vn
un	vne
voisin	voisines
voiture	voitures
voler	vole
votre	vostre
vouloir	voudroit
vouloir	voulloet
voyage	voyages
voir	voyant
votre	voz
usage	vsage
venir	vyndrent
vin	vyns
venir	vynt
viron	vyron
voir	vyt
véhicule	véhicules
William	william
icelui	ycelle
icelui	ycelluy
icelui	yceulx
il	yl
il	ylz
instance	ynstance
ivrogne	yvrongne
Écosse	Écosse
États-Unis	États-Unis
écossais	écossaise
Édouard	édouard
élaborer	élaboré
éliminer	éliminé
éliminer	éliminée
équiper	équipés
Éric	éric
établir	établi
établir	établie
établir	établies
être	étais
étendre	étendu
étudier	étudié
évoluer	évolué
œuf	œufs
œuvre	œuvres
